title,doi,altmetric_jid,issns1,issns2,journal,cohorts.com,cohorts.pub,cohorts.sci,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,authors6,authors7,authors8,authors9,authors10,authors11,authors12,authors13,authors14,authors15,authors16,authors17,type,altmetric_id,schema,is_oa,publisher_subjects.name1,publisher_subjects.name2,publisher_subjects.name3,publisher_subjects.scheme1,publisher_subjects.scheme2,publisher_subjects.scheme3,cited_by_posts_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,scopus_subjects1,scopus_subjects2,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,issns,publisher_subjects.name,publisher_subjects.scheme,cited_by_feeds_count,scopus_subjects3,scopus_subjects4,scopus_subjects5,cited_by_msm_count,cohorts.doc,publisher_subjects.name4,publisher_subjects.name5,publisher_subjects.name6,publisher_subjects.name7,publisher_subjects.scheme4,publisher_subjects.scheme5,publisher_subjects.scheme6,publisher_subjects.scheme7,handles,handle,pmid,cited_by_wikipedia_count,authors,scopus_subjects,abstract,cited_by_rdts_count,subjects,authors18,authors19,authors20,authors21,authors22,authors23,authors24,publisher_subjects.name8,publisher_subjects.scheme8,cited_by_policies_count,scopus_subjects6,scopus_subjects7,scopus_subjects8,authors25,authors26,authors27,authors28,authors29,authors30,authors31,authors32,authors33,authors34,authors35,authors36,authors37,authors38,authors39,authors40,authors41,authors42,authors43,authors44,authors45,authors46,authors47,authors48,authors49,authors50,authors51,publisher_subjects.name9,publisher_subjects.name10,publisher_subjects.scheme9,publisher_subjects.scheme10,cited_by_peer_review_sites_count,cited_by_videos_count,cited_by_rh_count,authors52,authors53,authors54,authors55,authors56,authors57,authors58
Museums and cradles of diversity are geographically coincident for narrowly distributed Neotropical snakes,10.1111/ecog.04815,4f6fa4eb3cf058f61000275b,0906-7590,1600-0587,Ecography,2,9,12,19151080,9.6315134138639,1937993,89,17210690,1886,17.778618239661,672,64,1214,338340,13.847351794053,54601,83,283629,46,29.912130434783,28,41,19,Josué A. R. Azevedo,Thaís B. Guedes,Cristiano de C. Nogueira,Paulo Passos,Ricardo J. Sawaya,Ana L. C. Prudente,Fausto E. Barbo,Christine Strüssmann,Francisco L. Franco,Vanesa Arzamendia,Alejandro R. Giraudo,Antônio J. S. Argôlo,Martin Jansen,Hussam Zaher,João F. R. Tonini,Søren Faurby,Alexandre Antonelli,article,70189014,1.5.4,FALSE,Ecological Applications,Environmental Science And Management,Ecology,era,era,era,26,23,1,24,1614862777,12.55,0.25,0,0,0,0,0,0,0,0,0,0,12.55,http://dx.doi.org/10.1111/ecog.04815,1573565957,1572912000,Life Sciences,Agricultural and Biological Sciences,0,75,0,75,https://badges.altmetric.com/?size=64&score=13&types=tttttttf,https://badges.altmetric.com/?size=100&score=13&types=tttttttf,https://badges.altmetric.com/?size=180&score=13&types=tttttttf,http://www.altmetric.com/details.php?citation_id=70189014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diversity Patterns of Neotropical Ferns: Revisiting Tryon's Centers of Richness and Endemism,10.1640/0002-8444-110.4.211,4f6fa51a3cf058f610003882,NA,NA,American Fern Journal,NA,3,NA,19417097,9.67111764864189,1943227,89,17467169,201,3.24935323383085,3,98,198,388315,15.1365419002604,55421,85,332703,14,6.78214285714286,2,85,12,Jacob S. Suissa,Michael A. Sundue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,98628439,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,6,3,1,5,1621555200,12.75,12.75,0,0,0,0,0,0,0,0,0,0,12.75,http://dx.doi.org/10.1640/0002-8444-110.4.211,1611610843,1609286400,Life Sciences,Agricultural and Biological Sciences,0,9,0,9,https://badges.altmetric.com/?size=64&score=13&types=bbttttff,https://badges.altmetric.com/?size=100&score=13&types=bbttttff,https://badges.altmetric.com/?size=180&score=13&types=bbttttff,http://www.altmetric.com/details.php?citation_id=98628439,0002-8444,Plant Biology,era,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDRP: Real-time phenology and climatic suitability modeling of invasive insects,10.1371/journal.pone.0244005,4f6fa5313cf058f6100043e3,NA,NA,PLOS ONE,NA,7,3,19722829,9.68222191573468,5060446,73,14589269,173731,14.0667174424829,53400,68,119612,464349,15.1163589584546,143500,68,319880,359,65.9353314763232,197,45,163,Brittany S. Barker,Leonard Coop,Tyson Wepprich,Fritzi Grevstad,Gericke Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,96945516,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,14,10,NA,10,1631562483,5,5,1.25,0,0,0,0,0,0,0,0,0,5,http://dx.doi.org/10.1371/journal.pone.0244005,1609529628,1609372800,Agricultural and Biological Sciences,"Biochemistry, Genetics and Molecular Biology",0,28,0,28,https://badges.altmetric.com/?size=64&score=5&types=tttttttt,https://badges.altmetric.com/?size=100&score=5&types=tttttttt,https://badges.altmetric.com/?size=180&score=5&types=tttttttt,http://www.altmetric.com/details.php?citation_id=96945516,1932-6203,Multidisciplinary,era,NA,Life Sciences,Medicine,Health Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maximizing fish detection with eDNA metabarcoding,10.1002/edn3.74,5ea28a39d74cb700112f6dff,2637-4943,2637-4943,Environmental DNA,1,12,15,18475574,9.5402356004705,1561907,91,16911893,191,18.914303664921,66,65,125,272340,17.118255012117,37306,86,234978,13,5.9192307692308,2,92,12,Cindy Bessey,Simon N. Jarman,Oliver Berry,Ylva S. Olsen,Michael Bunce,Tiffany Simpson,Matthew Power,James McLaughlin,Graham J. Edgar,John Keesing,NA,NA,NA,NA,NA,NA,NA,article,76478819,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,30,28,NA,28,1589340216,15.15,0,0,0,0,0,0,0,0,0,0,0,15.15,http://dx.doi.org/10.1002/edn3.74,1582331575,1582156800,NA,NA,0,114,0,114,https://badges.altmetric.com/?size=64&score=16&types=tttttttt,https://badges.altmetric.com/?size=100&score=16&types=tttttttt,https://badges.altmetric.com/?size=180&score=16&types=tttttttt,http://www.altmetric.com/details.php?citation_id=76478819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiscriminate feeding by an alien population of the spotted-thighed frog (Litoria cyclorhyncha) in southern Australia and potential impacts on native biodiversity,10.1071/zo19042,4f6fa4e93cf058f610002371,NA,NA,Australian Journal of Zoology,NA,1,NA,18458577,9.5357146345534,293278,98,18165984,602,7.33773089701,4,99,599,298195,19.92418382602,10298,96,287898,1,0,1,1,0,Christine M. Taylor,Gunnar Keppel,Shaun O'Sullivan,Stefan Peters,Gregory D. Kerr,Craig R. Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,83394839,1.5.4,FALSE,Environmental Sciences,Biological Sciences,Agricultural And Veterinary Sciences,era,era,era,15,1,NA,14,1595314643,90.66,0,0,0,0,0,0,0,0,0,0,0,90.66,http://dx.doi.org/10.1071/zo19042,1591266703,1546300800,Life Sciences,Agricultural and Biological Sciences,0,4,0,4,https://badges.altmetric.com/?size=64&score=91&types=mmmmmmbt,https://badges.altmetric.com/?size=100&score=91&types=mmmmmmbt,https://badges.altmetric.com/?size=180&score=91&types=mmmmmmbt,http://www.altmetric.com/details.php?citation_id=83394839,0004-959X,NA,NA,2,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distribution and diet of feral cats (Felis catus) in the Wet Tropics of north-eastern Australia, with a focus on the upland rainforest",10.1071/wr19201,4f6fa6053cf058f6100065a2,NA,NA,Wildlife Research,NA,2,NA,19191572,9.6432397186651,14797082,19,3817357,1009,13.009294350842,880,10,103,388219,17.346252244222,273268,25,97954,1,0,1,1,0,Jesse Rowland,Conrad J. Hoskin,Scott Burnett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,92846893,1.5.4,FALSE,Environmental Sciences,Biological Sciences,NA,era,era,NA,2,2,NA,2,1603336949,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,http://dx.doi.org/10.1071/wr19201,1603334152,1577836800,Physical Sciences,Environmental Science,0,8,0,8,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=92846893,1035-3712,NA,NA,NA,Life Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bionomics and rearing of Miltotranes prosternalis (Lea, 1929) (Coleoptera: Curculionidae), a mutualistic cycad pollinator in Australia",10.1111/ens.12434,4f6fa4eb3cf058f6100027dd,1343-8786,1479-8298,Entomological Science,NA,NA,1,19152115,9.6314209520989,12616368,23,4408174,339,7.2778879056047,206,31,108,326134,17.571635548577,199784,29,97677,8,15.8975,5,37,3,Yun Hsiao,Rolf G. Oberprieler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,92482015,1.5.4,FALSE,NA,NA,NA,NA,NA,NA,1,1,NA,1,1602823586,1,0,0,0,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1111/ens.12434,1602823762,1599955200,Life Sciences,Agricultural and Biological Sciences,0,3,0,3,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=92482015,NA,Zoology,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Developing effective management solutions for controlling stinking passionflower (Passiflora foetida) and promoting the recovery of native biodiversity in Northern Australia,10.1007/s10530-020-02295-5,4f6fa6043cf058f6100064b3,1387-3547,1573-1464,Biological Invasions,1,13,3,19731023,9.6827804290777,2561866,86,17163804,2123,8.1415195478097,396,81,1727,254900,20.038300337387,53000,79,201775,33,7.6175757575758,11,69,23,Tommaso Jucker,Vicki Long,David Pozzari,Dan Pedersen,Ben Fitzpatrick,Paul B. Yeoh,Bruce L. Webber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,84148264,1.5.4,FALSE,Developmental Biology,Ecology,Freshwater & Marine Ecology,springer,springer,springer,21,18,1,19,1611010712,9.95,7.2,0,0,0,0,0,0,0,0,0,0,9.95,http://dx.doi.org/10.1007/s10530-020-02295-5,1592348631,1592179200,Physical Sciences,Environmental Science,0,14,0,14,https://badges.altmetric.com/?size=64&score=10&types=tttttttf,https://badges.altmetric.com/?size=100&score=10&types=tttttttf,https://badges.altmetric.com/?size=180&score=10&types=tttttttf,http://www.altmetric.com/details.php?citation_id=84148264,NA,NA,NA,NA,Life Sciences,Agricultural and Biological Sciences,NA,NA,1,Life Sciences,Plant Sciences,Environmental Sciences,Biological Sciences,springer,springer,era,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Identification of an eastern short-eared rock-wallaby (Petrogale wilkinsi) population in Queensland: a significant range extension,10.1071/am20008,4f6fa60d3cf058f610006bb2,NA,NA,Australian Mammalogy,NA,2,NA,18094095,9.5391793891886,11340999,35,6374740,302,11.341993377483,234,19,59,296756,19.494566472118,171964,39,116165,1,0,1,1,0,Lea Ezzy,Anthony C. Grice,Will Parker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,85172319,1.5.4,FALSE,Ecology,Zoology,NA,era,era,NA,2,2,NA,2,1593778821,1.25,0,0,0,0,0,0,0,0,0,0,0,1.25,http://dx.doi.org/10.1071/am20008,1593778691,1609459200,Life Sciences,Agricultural and Biological Sciences,0,3,0,3,https://badges.altmetric.com/?size=64&score=2&types=tttttttt,https://badges.altmetric.com/?size=100&score=2&types=tttttttt,https://badges.altmetric.com/?size=180&score=2&types=tttttttt,http://www.altmetric.com/details.php?citation_id=85172319,0310-0049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A new genus and species of narrow-range millipede (Diplopoda, Polydesmida, Dalodesmidae) from Tasmania, Australia",10.3897/zookeys.966.56308,4f6fa53d3cf058f610004744,1313-2970,1313-2989,Zookeys,2,9,4,19243709,9.6540149782974,916592,95,18327120,5107,16.51022753084,530,89,4579,312771,18.662291746996,27054,91,285729,3,16.771333333333,2,66,2,Robert Mesibov,Juanita Rodriguez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,89755116,1.5.4,FALSE,Evolutionary Biology,Zoology,NA,era,era,NA,24,16,1,20,1601754629,29.224,0,0,0,0,0,0,0,0,0,0,0,29.224,http://dx.doi.org/10.3897/zookeys.966.56308,1599703498,1599609600,Life Sciences,Agricultural and Biological Sciences,0,5,0,5,https://badges.altmetric.com/?size=64&score=30&types=bttttttf,https://badges.altmetric.com/?size=100&score=30&types=bttttttf,https://badges.altmetric.com/?size=180&score=30&types=bttttttf,http://www.altmetric.com/details.php?citation_id=89755116,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
