doi,best_oa_location,oa_locations,oa_locations_embargoed,data_standard,is_oa,is_paratext,genre,oa_status,has_repository_copy,journal_is_oa,journal_is_in_doaj,journal_issns,journal_issn_l,journal_name,publisher,published_date,year,title,updated_resource,authors
10.3389/fagro.2021.657785,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,2673-3218,2673-3218,Frontiers in Agronomy,Frontiers Media SA,2021-04-22,2021,Seed Biology of Witchgrass (Panicum capillare L.) Ensures Its Success Under Different Environmental Conditions,2021-04-27T01:27:37.557633,
10.7882/az.2022.004,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"2204-2105,0067-2238",0067-2238,Australian Zoologist,Royal Zoological Society of New South Wales,2022-03-01,2022,"A call to scale up biodiversity monitoring from idiosyncratic, small-scale programmes to coordinated, comprehensive and continuous monitoring across large scales",2022-09-05T11:03:54.364068,
10.1134/s106235902114003x,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1062-3590,1608-3059",1062-3590,Biology Bulletin,Pleiades Publishing Ltd,2021-12-01,2021,"Biology of the Shrimp Alpheus lobidens De Haan 1849 (Decapoda, Alpheidae) from the Littoral of the Makran Coast, Gulf of Oman, the Arabian Sea",2022-08-25T19:19:11.617409,
10.1111/ddi.13428,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,"1366-9516,1472-4642",1366-9516,Diversity and Distributions,Wiley,2021-10-21,2021,Rapid assessment of the biodiversity impacts of the 2019–2020 Australian megafires to guide urgent management intervention and recovery and lessons for other regions,2022-11-23T20:02:23.926908,
10.11646/zootaxa.5103.1.1,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"1175-5334,1175-5326",1175-5326,Zootaxa,Magnolia Press,2022-02-23,2022,Monograph on the Cillaeinae (Coleoptera: Nitidulidae) from the Australian Region with comments on the taxonomy of the subfamily,2022-07-12T22:23:19.390177,
10.1007/s10530-022-02753-2,,,,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"1387-3547,1573-1464",1387-3547,Biological Invasions,Springer Science and Business Media LLC,2022-02-23,2022,"Citizen science reveals current distribution, predicted habitat suitability and resource requirements of the introduced African Carder Bee Pseudoanthidium (Immanthidium) repetitum in Australia",2022-08-26T05:53:34.841097,
10.1080/13235818.2022.2035889,,,,2,TRUE,FALSE,journal-article,green,TRUE,FALSE,FALSE,"1323-5818,1448-6067",1323-5818,Molluscan Research,Informa UK Limited,2022-01-02,2022,New records and two new species of <i>Grimpoteuthis</i> (Octopoda: Cirrata: Grimpoteuthididae) from southern Australia and New Zealand,2022-09-16T17:35:15.988902,
10.1016/j.tfp.2022.100226,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,2666-7193,2666-7193,"Trees, Forests and People",Elsevier BV,2022-06-01,2022,Systematic review and meta-analysis reveals functional traits and climate are good predictors of tropical tree water use,2022-08-18T09:11:59.215901,
10.1017/s0959270921000447,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,"0959-2709,1474-0001",0959-2709,Bird Conservation International,Cambridge University Press (CUP),2022-02-22,2022,Understanding habitat use of the Endangered Alligator Rivers Yellow Chat Epthianura crocea tunneyi to inform monitoring and management,2022-02-22T21:04:45.149128,
10.3389/fcosc.2021.789448,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,2673-611X,2673-611X,Frontiers in Conservation Science,Frontiers Media SA,2022-01-03,2022,Threatened Plant Translocation for Mitigation: Improving Data Accessibility Using Existing Legislative Frameworks. An Australian Case Study,2022-01-03T21:24:54.798300,
