Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Journal.Abbreviation,Short.Title,Series,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,doi,best_oa_location,oa_locations,oa_locations_embargoed,data_standard,is_oa,is_paratext,genre,oa_status,has_repository_copy,journal_is_oa,journal_is_in_doaj,journal_issns,journal_issn_l,journal_name,publisher,published_date,year,title,updated_resource,authors
BK6X4RGC,journalArticle,2020,"Burwell, C. J.; Hobson, R. G.; Hines, H. B.; Jefferies, M. G.; Power, N. P.; White, D.","Dragonflies and damselflies (Odonata) of the Granite Belt Region, South-Eastern Queensland, Australia",Australian Entomologist,,1320-6133,-,https://www.researchgate.net/publication/343841907,"Records of species of dragonflies and damselflies were collated from the Granite Belt region (more or less equivalent to the IBRA subregion of the Stanthorpe Plateau) in southeastern Queensland. The Granite Belt is the most northerly extent of the New England Tablelands bioregion and is an elevated region (mostly above 800 m) characterised by adamellite domes and tors. Records of odonate species were collated from our own observations, photographs and collecting activities, specimens in the Queensland Museum, and specimens from other Australian museum collections and observational records from the Atlas of Living Australia. To date, a total of 58 species of Odonata have been recorded from the Granite Belt, 19 species of damselflies from seven families and 39 species of dragonflies from six families. The odonate fauna of the Granite Belt has strong southern affinities with almost all of the region's species occurring in the southern half of the continent. In terms of their distributions in Queensland, a little over half the species recorded from the Granite Belt are widespread extending north into the tropics. Most of the remaining species are restricted to south-eastern Queensland with 13 species potentially restricted within Queensland to the Granite Belt which is the northernmost extent of their national ranges. Some of these restricted species are associated with riverine habitats but more are associated with swamps and wet heaths in the south-eastern parts of Girraween National Park. The long-term persistence of these species in Queensland is at risk due to rising temperatures, more severe and prolonged droughts and more severe and frequent fires due to climate change.",2020,2020-05-05 05:24:15,2021-04-06 05:13:11,,1,,1,47,,,,,,,,,,,,GS 2020,,-,,/Users/losialagisz/Zotero/storage/JJ3IC2UX/Burwell et al. - 2020 - Dragonflies and damselflies (Odonata) of the Grani.pdf,,1 - ALA used; Species occurrence records,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
W5HPYJDG,journalArticle,2020,"Cairns, A.; Meagher, D.; Seppelt, R.; Franks, A.",The moss family Octoblepharaceae A.Eddy ex Menzel in Australia,Telopea,,0312-9764,10.7751/telopea14820,https://openjournals.library.sydney.edu.au/index.php/TEL/article/view/14820,"This is the first treatment of the family Octoblepharaceae for Australia. The sole Australian species, Octoblepharum albidum Hedw., is described and illustrated, and a map of its known and potential distribution in Australia is included.",2020,2021-03-09 04:26:47,2021-04-06 04:08:41,,237-244,,,23,,,,,,,en,,,,,Scopus,,10.7751/telopea14820,,/Users/losialagisz/Zotero/storage/4C2RVK9E/Cairns et al. - 2020 - The moss family Octoblepharaceae A.Eddy ex Menzel .pdf,,2 - ALA cited,10.7751/telopea14820,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,FALSE,2200-4025,0312-9764,Telopea,Royal Botanical Gardens and Domain Trust,2020-01-01,2020,The moss family Octoblepharaceae A.Eddy ex M.Menzel in Australia.,2021-01-29T21:10:00.248945,
6S32VNGQ,journalArticle,2020,"Azevedo, J.A.R.; Guedes, T.B.; Nogueira, C.d.C.; Passos, P.; Sawaya, R.J.; Prudente, A.L.C.; Barbo, F.E.; Strüssmann, C.; Franco, F.L.; Arzamendia, V.; Giraudo, A.R.; Argôlo, A.J.S.; Jansen, M.; Zaher, H.; Tonini, J.F.R.; Faurby, S.; Antonelli, A.",Museums and cradles of diversity are geographically coincident for narrowly distributed Neotropical snakes,Ecography,,0906-7590,10.1111/ecog.04815,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecog.04815,"Factors driving the spatial configuration of centres of endemism have long been a topic of broad interest and debate. Due to different eco‐evolutionary processes, these highly biodiverse areas may harbour different amounts of ancient and recently diverged organisms (paleo‐ and neo‐endemism, respectively). Patterns of endemism still need to be measured at distinct phylogenetic levels for most clades and, consequently, little is known about the distribution, the age and the causes of such patterns. Here we tested for the presence of centres with high phylogenetic endemism (PE) in the highly diverse Neotropical snakes, testing the age of these patterns (paleo‐ or neo‐endemism), and the presence of PE centres with distinct phylogenetic composition. We then tested whether PE is predicted by topography, by climate (seasonality, stability, buffering and relictualness), or biome size. We found that most areas of high PE for Neotropical snakes present a combination of both ancient and recently diverged diversity, which is distributed mostly in the Caribbean region, Central America, the Andes, the Atlantic Forest and on scattered highlands in central Brazil. Turnover of lineages is higher across Central America, resulting in more phylogenetically distinct PE centres compared to South America, which presents a more phylogenetically uniform snake fauna. Finally, we found that elevational range (topographic roughness) is the main predictor of PE, especially for paleo‐endemism, whereas low paleo‐endemism levels coincide with areas of high climatic seasonality. Our study highlights the importance of mountain systems to both ancient and recent narrowly distributed diversity. Mountains are both museums and cradles of snake diversity in the Neotropics, which has important implications for conservation in this region.",2020,2021-04-06 03:27:02,2021-04-06 03:27:02,,328-339,,2,43,Ecography,,,,,,en,,,0acd7ba4-15df-37d9-94c9-77c18ebee21b,,Script,,10.1111/ecog.04815,,/Users/losialagisz/Zotero/storage/H2D8PV9J/Azevedo et al. - 2020 - Museums and cradles of diversity are geographicall.pdf,,ALA GBIF DOI,10.1111/ecog.04815,,,,2,TRUE,FALSE,journal-article,hybrid,FALSE,FALSE,FALSE,"0906-7590,1600-0587",0906-7590,Ecography,Wiley,2019-11-05,2019,Museums and cradles of diversity are geographically coincident for narrowly distributed Neotropical snakes,2021-02-04T14:14:13.986406,
DUJ6AMU2,journalArticle,2020,"Hansen, N.A.; Oliver, D.L.",Observations of an aggregation between two species of Australian elapid snakes: the threatened Little Whip Snake Parasuta flagellum and Common Eastern Brown Snake Pseudonaja textilis,Australian Zoologist,,0067-2238,10.7882/AZ.2020.030,https://publications.rzsnsw.org.au/doi/abs/10.7882/AZ.2020.030,"This short note presents field observations of a pair of adult threatened Little Whip Snakes Parasuta flagellum and a pair of juvenile Common Eastern Brown Snakes Pseudonaja textilis in an aggregation beneath artificially placed Masonite board used in the Turallo Nature Reserve long-term Little Whip Snake monitoring program. The observation represents the first documented record of an interspecific aggregation between these two species. Presumably, there may be thermal or anti-predatory advantages for the Little Whip Snake by aggregating with other snakes, particularly when both species are of a similar size. However, similar behaviours may also have fitness disadvantages including food competition, and potentially predation as the Common Eastern Brown Snake neonates grow and surpass the substantially smaller Little Whip Snake and warrants further experimental research.",2020,2020-10-12 03:13:53,2021-04-06 01:50:09,,,,,,,,,,,,,,,,,GS 2020,,10.7882/AZ.2020.030,,/Users/losialagisz/Zotero/storage/JY59YIBI/Hansen and Oliver - 2020 - Observations of an aggregation between two species.pdf,,1 - ALA used; Species occurrence records; Map,10.7882/AZ.2020.030,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
S6A8HXTH,journalArticle,2020,"Prylutskyi, O.; Yatsiuk, I.; Savchenko, A.; Kit, M.; Solodiankin, O.; Schigel, D.","Narrow Substrate Requirements Alongside Rapid Substrate Turnover for Wood-Inhabiting Fungi: A Case Study of Pleurotus Calyptratus (Agaricales, Basidiomycota) in Ukraine",ResearchSquare,,-,10.21203/rs.3.rs-122044/v1,https://www.researchsquare.com/article/rs-122044/v1,"Background Pleurotus calyptratus is a wood-inhabiting oyster mushroom which produces fruiting bodies on logs, stumps and branches of both dead and living Populus tremula and P. alba. Easily recognisable in the field fruit bodies and strict and steady fruiting period make this species an attractive model object for investigations of ecology of wood-inhabiting fungi. This fungus is rather common in Ukraine, but considered rare in many other European countries. To explore species biology in relation to its rarity issues, we analyzed substrate requirements and habitat supply for P. calyptratus in two sites in Eastern Ukraine, as well as monitored patterns of fruit body production in three large aspen stands over 6 years. In addition, patterns of mycelial presence of P. calyptratus mycelia were studied in living aspen trees using custom species-specific primers. Results Study demonstrates potential suitability of a wide range of life / decomposition stages of aspen or white poplar tree trunks for P. calyptratus. This window of suitability, however, is rather short: dying of freshly dead trees, rarely exceeding two years) regardless of tree age, volume, position or other parameters. Moreover, mycelium presence of P. calyptratus was detected in the living tissues of host trees. These findings supported hypotheses of early substrate colonization and latent mycelial development of P. calyptratus before the substrate reached a stage suitable for fructification. Conclusions Confirmed by a combination of fruit body survey and detection of mycelial DNA, P. calyptratus demonstrates an ecological strategy which combines both strict substrate requirements and rapid substrate turnover. We suppose that such a strategy may be widely distributed among wood-inhabiting agarics.",2020,2021-02-25 06:59:13,2021-02-25 06:59:13,,,,,,,,,,,,,,,d59cbc68-fb99-360c-ad3c-c9ab6b87a443,,Script,,10.21203/rs.3.rs-122044/v1,,/Users/losialagisz/Zotero/storage/6MIF35C7/Prylutskyi et al. - 2020 - Narrow Substrate Requirements Alongside Rapid Subs.pdf,,ALA GBIF DOI,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
399KK36G,journalArticle,2020,"Suissa, J.S.; Sundue, M.A.",Diversity Patterns of Neotropical Ferns: Revisiting Tryon's Centers of Richness and Endemism,American Fern Journal,,0002-8444,10.1640/0002-8444-110.4.211,https://bioone.org/journals/american-fern-journal/volume-110/issue-4/0002-8444-110.4.211/Diversity-Patterns-of-Neotropical-Ferns--Revisiting-Tryons-Centers-of/10.1640/0002-8444-110.4.211.full,"Almost fifty years ago Dr. Rolla M. Tryon investigated the patterns of neotropical fern diversity and discovered that sites of exceptional richness and endemism are found in five predominantly montane regions. Here, we revisit these sites with the aid of contemporary methodologies. We integrate phylogenetic, ecological, climatic, and occurrence data to better understand what factors contribute to the patterns of fern diversity throughout the neotropics. With this dataset we are able to reassess Tryon's neotropical hotspots fifty years later and take one step closer to understanding the processes governing the distribution of fern species. We recover six hotspots of neotropical species richness and endemism that closely mirror those delineated by Tryon. Like Tryon, we find that hotspots are found predominantly in montane regions with more climatic space compared to surrounding areas. Patterns of species richness and lineage diversification can largely be explained by the extent of available habitats, especially in association with montane ecosystems. We also show that patterns of species assemblages across the neotropics are largely dictated by distance and elevation. In synthesis, we propose that, in addition to migration and persistence of relictual lineages, patterns of species richness and endemism in the neotropics are driven by in situ speciation in montane regions.",2020,2021-02-25 06:59:13,2021-02-25 06:59:13,,,,4,110,,,,,,,,,,69d595a8-8515-3454-8f84-3b6db98aec80,,Script,,10.1640/0002-8444-110.4.211,,/Users/losialagisz/Zotero/storage/6PLAA63Y/Suissa and Sundue - 2020 - Diversity Patterns of Neotropical Ferns Revisitin.pdf,,ALA GBIF DOI,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PGIHF76E,journalArticle,2020,"Donovan, G.; Gatziolis, D.; Mannetje, A.; Weinkove, R.; Fyfe, C.; Douwes, J.",An Empirical Test of the Biodiversity Hypothesis: Exposure to Plant Diversity is Associated with a Reduced Risk of Childhood Acute Lymphoblastic Leukemia,SSRN Electronic Journal,,1556-5068,10.2139/ssrn.3559635,https://www.ssrn.com/abstract=3559635,"Background:The biodiversity hypothesis posits that declining biodiversity may be responsible, at least in part, for the global increase in immune diseases. However, few studies have been able to demonstrate a link between exposure to biodiversity and specific health outcomes. Methods: We test whether exposure to plant diversity protects against childhood acute lymphoblastic leukemia (ALL) by promoting immune maturation. Our sample consisted of all children born in New Zealand from 1998-2011 (n=899,126; 264 ALL cases), which we followed from birth to age five. We calculated plant-diversity metrics using the Global Biodiversity Information Facility, which contains over two million geocoded plant records in New Zealand. Findings: Consistent with previous research, children who had always lived in an urban area, or who had an older mother, were at greater risk for ALL, whereas children with older siblings were at lower risk. In addition, we found that plant-diversity metrics based on the maximum number of plant genera a child was exposed to during the first two years of life were protective of ALL. Specifically, exposure to the highest tertile of plant diversity was associated with a reduction in ALL risk of 35% (95% CI: 11%-53%).",2020,2021-02-25 06:59:13,2021-02-25 06:59:13,,,,,,,,,,,,en,,,5685aeab-c61b-377b-b3a0-6e6e57860dad,,Script,,10.2139/ssrn.3559635,,,,ALA GBIF DOI,10.2139/ssrn.3559635,,,,2,FALSE,FALSE,journal-article,closed,FALSE,FALSE,FALSE,1556-5068,1556-5068,SSRN Electronic Journal,Elsevier BV,2020-01-01,2020,An Empirical Test of the Biodiversity Hypothesis: Exposure to Plant Diversity is Associated with a Reduced Risk of Childhood Acute Lymphoblastic Leukemia,2021-01-17T04:57:45.663555,
R3L4Y3C8,journalArticle,2020,"Barker, B.S.; Coop, L.; Wepprich, T.; Grevstad, F.; Cook, G.",DDRP: Real-time phenology and climatic suitability modeling of invasive insects,PLoS ONE,,1932-6203,10.1371/journal.pone.0244005,https://dx.plos.org/10.1371/journal.pone.0244005,"Rapidly detecting and responding to new invasive species and the spread of those that are already established is essential for reducing their potential threat to food production, the economy, and the environment. We describe a new spatial modeling platform that integrates mapping of phenology and climatic suitability in real-time to provide timely and comprehensive guidance for stakeholders needing to know both where and when invasive insect species could potentially invade the conterminous United States. The Degree-Days, Risk, and Phenological event mapping (DDRP) platform serves as an open-source and relatively easy-to-parameterize decision support tool to help detect new invasive threats, schedule monitoring and management actions, optimize biological control, and predict potential impacts on agricultural production. DDRP uses a process-based modeling approach in which degree-days and temperature stress are calculated daily and accumulate over time to model phenology and climatic suitability, respectively. Outputs include predictions of the number of completed generations, life stages present, dates of phenological events, and climatically suitable areas based on two levels of climate stress. Species parameter values can be derived from laboratory and field studies or estimated through an additional modeling step. DDRP is written entirely in R, making it flexible and extensible, and capitalizes on multiple R packages to generate gridded and graphical outputs. We illustrate the DDRP modeling platform and the process of model parameterization using two invasive insect species as example threats to United States agriculture: the light brown apple moth, Epiphyas postvittana, and the small tomato borer, Neoleucinodes elegantalis. We then discuss example applications of DDRP as a decision support tool, review its potential limitations and sources of model error, and outline some ideas for future improvements to the platform.",2020,2021-02-25 06:59:13,2021-02-25 06:59:13,,e0244005,,12,15,,,,,,,en,,,b42d35eb-cf8c-3b6c-973b-419a3affa389,,Script,,10.1371/journal.pone.0244005,,/Users/losialagisz/Zotero/storage/FWNSMDD3/Barker et al. - 2020 - DDRP Real-time phenology and climatic suitability.pdf,,ALA GBIF DOI,10.1371/journal.pone.0244005,,,,2,TRUE,FALSE,journal-article,gold,TRUE,TRUE,TRUE,1932-6203,1932-6203,PLOS ONE,Public Library of Science (PLoS),2020-12-31,2020,DDRP: Real-time phenology and climatic suitability modeling of invasive insects,2021-12-06T00:27:38.018887,
WRLVE9KL,journalArticle,2020,"Choy, S.C.","Caridina thermophila, an Enigmatic and Endangered Freshwater Shrimp (Crustacea: Decapoda: Atyidae) in the Great Artesian Basin, Australia",Proceedings of The Royal Society of Queensland,,0080-469X,-,https://www.royalsocietyqld.org/springs-special-issue-vol-126/,"Only one species of freshwater shrimp, Caridina thermophila, has been recorded from the Great Artesian Basin (GAB) springs and associated wetlands in central Queensland. The species seems to be endemic to Queensland, has a restricted distribution and, whilst it is listed as Endangered in the IUCN Red List of Threatened Species, is not specifically protected under any Australian state or ­federal legislation. Although C. thermophila was first described from hot-water springs, it is now known to also inhabit much cooler waters, and hence its temperature tolerance range is quite broad. Apart from its general ecology and associated spring communities (many of which include rare and endangered endemic species), very little is known about the population dynamics and resilience of this species, particularly in relation to anthropogenic pressures and climate change. It is recommended that this species be specifically protected under national legislation, and a conservation plan be developed and implemented to ensure its long-term survival.",2020,2021-02-25 04:33:19,2021-02-25 04:35:42,,7,,,126,,,,,,,en,,,,,Airtable,,-,,"/Users/losialagisz/Zotero/storage/G2EPI4ZX/Choy - Caridina thermophila, an Enigmatic and Endangered .pdf",,2 - ALA cited,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
XHLP4A4Q,journalArticle,2020,"Bessey, C.; Jarman, S.N.; Berry, O.; Olsen, Y.S.; Bunce, M.; Simpson, T.; Power, M.; McLaughlin, J.; Edgar, G.J.; Keesing, J.",Maximizing fish detection with eDNA metabarcoding,Environmental DNA,,2637-4943,10.1002/edn3.74,https://onlinelibrary.wiley.com/doi/abs/10.1002/edn3.74,"Fish biodiversity can be measured by capturing and then sequencing free DNA present in water. Such environmental DNA (eDNA) methods offer an effective, noninvasive tool for species diversity measurement, although standardized protocols are not yet developed. We investigate how metrics of fish biodiversity revealed through eDNA analysis of water are influenced by sampling volume. Water samples were collected from the intertidal reef of Browse Island, a tropical, remote island in the Timor Sea. Aliquots from a single 20,700-ml sample and multiple 2,000-ml samples were filtered in various volumes (25–2,000 ml) across two membrane sizes (0.20 and 0.45 µm). A fish metabarcoding assay was used to characterize the fish diversity within aliquots. All samples, except one, yielded fish DNA sequences. Two hundred and nine operational taxonomic units (cf. species) representing 48 fish families were identified from the complete collection of DNA contained in all samples, comparable to the 200 fish species detected using conventional surveys at this location. Notable additions from eDNA methods were cryptic and nocturnal fish species. Nevertheless, large differences in taxonomic composition (<60% species overlap) between aliquots of identical volumes demonstrate that eDNA in seawater is patchy and that estimates of biodiversity are strongly influenced by the volume of water filtered. We suggest that eDNA studies maximize water volumes as much as logistically possible if the aim is to detect the greatest number of taxa and that species accumulation curves be provided as an indication of sampling adequacy.",2020,2020-03-01 23:40:11,2021-02-25 04:15:27,,,,,,,,,,,,en,,,,,GS 2020,,10.1002/edn3.74,,/Users/losialagisz/Zotero/storage/AY8PYYLS/Bessey et al. - 2020 - Maximizing fish detection with eDNA metabarcoding.pdf,,6 - ALA published,10.1002/edn3.74,,,,2,TRUE,FALSE,journal-article,gold,FALSE,TRUE,TRUE,"2637-4943,2637-4943",2637-4943,Environmental DNA,Wiley,2020-02-20,2020,Maximizing fish detection with eDNA metabarcoding,2021-07-30T06:25:19.728180,
