Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags
QATL6GZ8,report,2021,"Post, A.; Przeslawski, R.; Huang, Z.; Smith, D.; Kirkendale, L.; Wilson, N.","An eco-narrative of the Gascoyne Marine Park, North-west marine region",,,,,https://www.nespmarine.edu.au/document/eco-narrative-gascoyne-marine-park-north-west-marine-region,"This report is one in a series of eco-narratives that synthesise our existing knowledge of Australian Marine Parks. Eco-narratives are intended to enable managers and practitioners to rapidly ascertain the ecological characteristics of each park, and to highlight knowledge gaps for future research focus. Gascoyne Marine Park is dominated by two submarine canyons that incise the continental slope of the western Australian margin and provide some degree of connectivity between the continental shelf and abyssal plain. The park is characterised by a range of benthic environments, including near-vertical cliffs of exposed bedrock in the canyons, and sediment covered slopes on the continental slope that grade to abyssal plains that occupy the greater proportion of the park.",2021,28/6/2021 3:51,22/3/2023 4:06,,,,,,NA,,,,NA,NA,,nespmarine.edu.au,"Canberra, Australia",not specified,,,,,GS 2021,,-,NA,"C:\Users\KEL329\Zotero\storage\J9QAG5ZL\Post et al. - 2021 - An eco-narrative of the Gascoyne Marine Park, Nort.pdf",,1 - ALA used; Map; Species occurrence records
MJTECBHI,conferencePaper,2020,"Duncan, B.","Bridging the gaps between traditional/western science to support Aboriginal women's health, wellbeing, and empowerment",ESA 2020 - Understanding Ecological Extremes,,,,https://www.esa2020.org.au/wp-content/uploads/2021/02/ESA2020_Abstracts_26FEB21.pdf,"The Garragal Project bridges the gaps between traditional and western science knowledge for plants and animals to support the health, wellbeing, and empowerment of Kamilaroi women. This created opportunities for reconnection to traditional language and cultural knowledge through physical, spiritual, and environmental practices with plants and animals on country. This project was designed to reconnect and engage Kamilaroi women with their language and cultural knowledge. The practical experience of linking western science names and knowledge for plants and animals to language names and traditional science opened a safe space for women to rediscover and share their personal and ancestral knowledge about these plants and animals. Women's language and culture networks, based in Walgett and Boggabilla, NSW, were created and involved Kamilaroi women interested in the use, promotion, development, and protection of their languages and cultural knowledge. Information about each plant and animal was collected through the network and included names in the Kamilaroi languages: Yuwaalaraay, Yuwaalayaay, and Gamilaraay/Gamilaroi/Kamilaroi, and ecological knowledge about its purpose, relationships, and character. Information deemed suitable for publication was included in the Atlas of Living Australia (ALA), Australia's free national biodiversity database. The ALA now includes Kamilaroi knowledge for more than 300 species, and for the first time directly links Kamilaroi and western science knowledge on a free and high-profile public forum. This project is on-going, to-date it has proved the catalyst for change in women's well-being. They are more motivated and committed to share and progress their language and culture through investigating plants and animals.",2020,13/5/2021 3:29,13/5/2021 3:33,,,,,,NA,,,,NA,NA,,,Virtual,not specified,,,,,GS 2020,,-,NA,,,ALA author; TBC
PL8LP998,conferencePaper,2020,"Brenton, P.; Horvat, A.; Roger, E.; Stevenson, M.; Zerger, A.",Using citizen science to enable meaningful participation in bushfire recovery,ESA 2020 - Understanding Ecological Extremes,,,,https://www.esa2020.org.au/wp-content/uploads/2021/02/ESA2020_Abstracts_26FEB21.pdf,"There has been extensive community interest in participating in bushfire related citizen science projects since the 2019/20 bushfires earlier this year. Participation in citizen science projects has been supported via the CSIRO and the Australian Citizen Science Association's Citizen Science Bushfire Project Finder. The Project Finder is a one-stop resource that makes it easy to search for vetted projects that can contribute to our understanding of bushfire recovery. Already these projects are demonstrating lasting impact through Page 96 of 135 augmentation of both data quantity and quality of research. Here we provide case studies of where citizen science is having impact. For example, across two discreet digital application projects alone, hundreds of citizen scientists have recorded and validated more than 10,000 observations and have documented over 1300 species in bushfire impacted regions. Citizen science also has huge capacity to scale biosecurity efforts for bushfire recovery. Already citizen scientists are undertaking surveys for new weed or pest incursions in fire impacted regions. Despite these examples, there remains significant untapped potential for greater public involvement in recovery efforts.  The report on Climate and Disaster Resilience recognises the importance of citizen science in complementing traditional research-led monitoring campaigns, and in sharing locally specific advice. One component of the response also brought together national stakeholders, to develop a series of more detailed recommendations regarding the critical role of citizen science. With that in mind, the task now moves to improving integration of the 'professional' scientific capability with the citizen science effort, to better harness the potential of citizen science.",2020,13/5/2021 3:29,13/5/2021 3:33,,,,,,NA,,,,NA,NA,,,Virtual,not specified,,,,,GS 2020,,-,NA,,,ALA author; TBC
RWUKNFJ2,conferencePaper,2020,"Belbin, L.; Chapman, A.; Wieczorek, J.; Morris, P.J.; Zermoglio, P.",Task Group 2 - Data Quality Tests and Assertions,Biodiversity Information Science and Standards,,,10.3897/biss.4.58982,https://biss.pensoft.net/article/58982/,"Other than data availability, 'Data Quality' is probably the most significant issue for users of biodiversity data and this is especially so for the research community. Data Quality Tests and Assertions Task Group (TG-2) from the Biodiversity Information Standards (TDWG) Biodiversity Quality Interest Group is reviewing practical aspects relating to 'data quality' with a goal of providing a current best practice at the key interface between data users and data providers: tests and assertions. If an internationally agreed standard suite of core tests and resulting assertions can be used by all data providers and aggregators and hopefully data collectors, then greater and more appropriate use could be made of biodiversity data. Adopting this suite of core tests, data providers and particularly aggregators such as the Global Biodiversity Information Facility (GBIF) and its nodes would have increased credibility with the user communities and could provide more effective information for evaluating 'fitness for use'.",2020,13/5/2021 3:16,13/5/2021 3:33,,e58982,,,4,NA,,,,NA,NA,,,Virtual,not specified,,,,,GS 2020,,10.3897/biss.4.58982,NA,C:\Users\KEL329\Zotero\storage\EPJA4GUB\Belbin et al. - 2020 - Task Group 2 – Data Quality Tests and Assertions.pdf,,ALA author; TBC
ZPVFPSIF,conferencePaper,2020,"Kearney, N.",Discovering the Platypus: From its scientific description to its DOI,Biodiversity Information Science and Standards,,,10.3897/biss.4.59089,https://biss.pensoft.net/article/59089/,"The first description and illustration of the duck-billed platypus appeared in the scientific literature in 1799. Since its international debut, the platypus has fascinated the scientific community. The past 200 years of scholarly literature is peppered with journal articles containing taxonomic revisions and details of the bizarre biology and behaviour of this paradoxical species. Yet, despite the fact that much of this historic literature is now accessible online, it is almost impossible to find. This is because, unlike contemporary scientific publications, much of the digitised historical literature lacks article-level citation data and digital object identifiers (DOIs). This paper will detail the work the Biodiversity Heritage Library (BHL) is undertaking to bring the world's historic literature into the modern linked network of scholarly research. It will present three case studies - three ""lost"" platypus articles from three very different publications - to demonstrate how the retrospective registration of DOIs is critical to making legacy literature discoverable, citable and trackable. This paper will also discuss the responsibility and accountability that comes with assigning DOIs, including best practice for out-of-copyright and orphaned content, and the issues that arise when the definitive (DOI'd) versions of public domain journal articles are locked behind paywalls.",2020,13/5/2021 3:16,13/5/2021 3:33,13/5/2021 3:16,e59089,,,4,NA,,,,NA,NA,,,Virtual,not specified,,,,,GS 2020,,10.3897/biss.4.59089,NA,C:\Users\KEL329\Zotero\storage\53TSPWKC\Kearney - 2020 - Discovering the Platypus From its scientific desc.pdf,,ALA author; TBC
VYDHSQ9S,conferencePaper,2020,"Martin, D.; Molina, J.; dos Remedios, N.; Lecoq, M.E.; Robertson, T.; Ruiz Jurado, V.",Aligning GBIF and the Atlas of Living Australia,Biodiversity Information Science and Standards,,,10.3897/biss.4.59274,https://biss.pensoft.net/article/59274/,"The Global Biodiversity Information Facility (GBIF) and the Atlas of Living Australia (ALA) are two interconnected leading infrastructures serving the biodiversity community. Recognising that significant overlap exists in the function of the systems run by both organisations, and that advancement in technology allows GBIF to offer more functionality, we have initiated a process to align these infrastructures. Such a move is expected to bring the benefits of consistent data handling, improved bibliographic citation tracking, coordinated deployment of new features across the entire data publishing community, better reuse of modules and an overall reduction in cost of development, deployment and operation. This year, work has commenced to align these two infrastructures, focussing initially on data ingestion pipelines. The GBIF and ALA teams are collaborating closely, working on the same codebase, developing common working practices and agreeing on tools and coding standards. This focus on collaboration will lead to a defined model for the Living Atlas community to provide contributions. This work will also further the efforts to hand ownership of core ALA systems to the Living Atlas community and pave the way for the Living Atlas community to transition to the adoption of GBIF systems. Later this year, efforts will move towards use of a common registry for organisations, collections, datasets and associated metadata, which will reduce the effort spent in curating content, while also improving consistency by removing the need for synchronisation.",2020,13/5/2021 3:15,13/5/2021 3:33,,e59274,,,4,NA,,,,NA,NA,,,Virtual,not specified,,,,,GS 2020,,10.3897/biss.4.59274,NA,C:\Users\KEL329\Zotero\storage\WVKRALMH\Martin et al. - 2020 - Aligning GBIF and the Atlas of Living Australia.pdf,,ALA author; TBC
BABZQYGQ,conferencePaper,2020,"Treadwell, M.; Steves, S.",Saving our Spectacled Flying-fox - citizen science project to engage communities in conserving Spectacled Flying-foxes,ESA 2020 - Understanding Ecological Extremes,,,,https://www.esa2020.org.au/wp-content/uploads/2021/02/ESA2020_Abstracts_26FEB21.pdf,"The Spectacled flying-fox is an endangered species under the EPBC Act and Qld Nature Conservation Act. Despite a documented national population decline of 80-85% since 2004, including the loss of 23,000 animals (~32%) in a single heat stress event in November 2018, management activities are still focused on control of the species rather than conservation. Page 116 of 135 While major threats to the population are habitat loss, particularly of foraging habitat, cyclones and climate change, spectacled flying-foxes can still be dispersed from most camps without referral to the EPBC Act, and illegal harassment and shooting are known to occur. Past and current management activities have not only contributed to the population loss but also hinder conservation efforts. Indeed, public perception may be the biggest threat to the conservation of this threatened flying-fox. This project aims to improve perceptions and educate the community to promote a public will for the species' conservation by engaging people in a citizen science project recording observations of where they see flying-foxes feeding and roosting. Data collected from the surveys will be entered into the Living Atlas of Australia and will add to our knowledge of the species, complementing the CSIRO monitoring. This will help identify critical roosting habitat for rehabilitation and restoration to reduce the impacts of future heat-stress and other climatic events. Maree and Sera will outline the project, its progress, challenges and desired outcomes and describe how this will complement scientific research and feed into the work of the newly established Spectacled Flying-fox Recovery Team.",2020,13/5/2021 3:28,13/5/2021 3:33,,,,,,NA,,,,NA,NA,,,Virtual,not specified,,,,,GS 2020,,-,NA,,,TBC
J3RR5TCE,report,2020,"Scalera, R.; Rabitsch, W.; Genovesi, P.; Bacher, S.; Adriaens, T.; Verzelen, Y.; Robertson, P; Beckmann, B.","Study on Invasive Alien Species -  Development of risk assessments to tackle priority species and enhance prevention - Risk Assessment for Axis axis (Erxleben, 1777)",,,,,https://www.researchgate.net/publication/341491223,"Evidence-based assessments of the risks posed by invasive alien species (IAS) are critical to underpin policies and prioritise action. Over the last three years, a template for producing structured risk assessments has been developed and tested for thirty selected species spanning various taxonomic groups across marine, terrestrial and freshwater environments. Here we present ten risk assessments and associated management annexes for IAS produced over the last year. The selected species were Channa argus (northern snakehead), Ameiurus melas (black bullhead), Ameiurus nebulosus (brown bullhead), Wasmannia auropunctata (little fire ant), Axis axis (chital), Pycnonotus cafer (red-vented bulbul), Fallopia baldschuanica (Russian vine), Phytolacca americana (American pokeweed), Boccardia proboscidea (polychaete worm), Schizoporella japonica (orange ripple bryozoan). The risk assessments and associated management annexes were produced alongside tasks to develop and maintain a risk assessment template and to collect evidence on management techniques, implementation costs and cost-effectiveness. A two-day workshop was held to finalise the risk assessments following peer-review. The risk assessments will be used as evidence to inform whether the target species should be considered for inclusion on the list of invasive alien species of Union concern under Regulation (EU) 1143/2014 on the prevention and management of the introduction and spread of invasive alien species (the IAS Regulation).",2020,5/5/2021 2:18,22/3/2023 4:50,,,,,,NA,,,,NA,NA,,,"Brussels, Belgium",not specified,,,,,GS 2021,,10.2779/56374,NA,C:\Users\KEL329\Zotero\storage\IUDDB26B\Scalera et al. - 2020 - Study on Invasive Alien Species –  Development of .pdf,,1 - ALA used; Species occurrence records; Contact for data DOI; Modelling
LEVFUCHC,newspaperArticle,2021,,Magic of local mushrooms unearthed in new guide,The Land,,,,http://www.theland.com.au/story/7239259/magic-of-local-mushrooms-unearthed-in-new-guide/,"Sometimes referred to as the 'underground internet', fungi provide entangled networks of nutrient exchange.",2021,5/5/2021 5:07,5/5/2021 5:09,5/5/2021 5:07,,,,,NA,,,,NA,NA,,,,not specified,,,,,CSIRO Media,,-,NA,C:\Users\KEL329\Zotero\storage\TM4M3QHU\2021 - Magic of local mushrooms unearthed in new guide.pdf,,5 - ALA mentioned
AVA9GZHH,conferencePaper,2020,"Alzuru, I.; Matsunaga, A.; Tsugawa, M.; Fortes, J.A.B.",General Self-aware Information Extraction from Labels of Biological Collections,2020 IEEE International Conference on Big Data (Big Data),,,10.1109/BigData50022.2020.9377737,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9377737,"The information stored in biological collections can help us model biodiversity, develop new medicines, control agricultural pests, and understand or avoid epidemics, among many other benefits. The digitization of this information, including the transcription of the Darwin Core (DC) terms from the text in photographs, is currently performed through human-oriented processes that rely on input from experts or consensus from crowdsourced work. Previous studies utilized heuristics, only applicable to a couple of DC terms, for their semi-automated extraction. In this paper, we propose a human-in-the-loop workflow for the general extraction of DC terms. The workflow utilizes crowdsourced data to iteratively train a named-entity recognition model for the extraction of the DC terms. Because the source text can contain errors from the optical character recognition process, the extracted values are validated by a confidence estimation structure of frequency lists. These lists are created from millions of previously digitized records, of other collections, and data already extracted from the collection being processed. The proposed human-in-the-loop approach accelerates the transcription of DC terms by partially automating the extraction of values with a near-human quality. The named-entity recognition model was tested in the extraction of a heterogeneous group of 10 terms, obtaining a recall of 0.859, precision of 0.931, and similarity to the ground-truth data of 0.941, on average. The number of required crowdsourcing sessions was reduced by 84%.",2020,5/5/2021 4:54,5/5/2021 4:55,,3035-3044,,,,NA,,,,NA,NA,,,,not specified,,,,,Scopus,,10.1109/BigData50022.2020.9377737,NA,C:\Users\KEL329\Zotero\storage\CK9RTL9H\Alzuru et al. - 2020 - General Self-aware Information Extraction from Lab.pdf,,TBC
