Nr,Journal_name,Journal_IF
1,CA-A CANCER JOURNAL FOR CLINICIANS,286.13
2,LANCET,202.731
3,NEW ENGLAND JOURNAL OF MEDICINE,176.079
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,113.915
5,NATURE REVIEWS DRUG DISCOVERY,112.288
6,NATURE REVIEWS IMMUNOLOGY,108.555
7,Lancet Respiratory Medicine,102.642
8,BMJ-British Medical Journal,93.333
9,NATURE MEDICINE,87.241
10,Lancet Microbe,86.208
11,World Psychiatry,79.683
12,NATURE REVIEWS MICROBIOLOGY,78.297
13,Lancet Psychiatry,77.056
14,Nature Reviews Materials,76.679
15,Nature Reviews Gastroenterology & Hepatology,73.082
16,Lancet Public Health,72.427
17,CHEMICAL REVIEWS,72.087
18,LANCET INFECTIOUS DISEASES,71.421
19,NATURE REVIEWS CANCER,69.8
20,NATURE,69.504
21,NATURE BIOTECHNOLOGY,68.164
22,Nature Energy,67.439
23,CELL,66.85
24,Nature Reviews Disease Primers,65.038
25,Nature Reviews Clinical Oncology,65.011
26,SCIENCE,63.714
27,CHEMICAL SOCIETY REVIEWS,60.615
28,LANCET NEUROLOGY,59.935
29,NATURE REVIEWS GENETICS,59.581
30,Psychological Science in the Public Interest,56.2
31,LANCET ONCOLOGY,54.433
32,ANNALS OF ONCOLOGY,51.769
33,ANNALS OF INTERNAL MEDICINE,51.598
34,JOURNAL OF CLINICAL ONCOLOGY,50.717
35,REVIEWS OF MODERN PHYSICS,50.485
36,CLINICAL MICROBIOLOGY REVIEWS,50.129
37,Nature Reviews Cardiology,49.421
38,PROGRESS IN MATERIALS SCIENCE,48.165
39,NATURE METHODS,47.99
40,NATURE MATERIALS,47.656
41,Nature Reviews Endocrinology,47.564
42,PHYSIOLOGICAL REVIEWS,46.5
43,CELL RESEARCH,46.297
44,Joule,46.048
45,Lancet Gastroenterology & Hepatology,45.042
46,Lancet Diabetes & Endocrinology,44.867
47,Nature Reviews Neurology,44.711
48,JAMA Internal Medicine,44.409
49,IMMUNITY,43.474
50,Living Reviews in Relativity,42.9
51,Nature Reviews Nephrology,42.439
52,INTENSIVE CARE MEDICINE,41.787
53,Molecular Cancer,41.444
54,NATURE GENETICS,41.307
55,Nature Catalysis,40.706
56,Nature Nanotechnology,40.523
57,CIRCULATION,39.918
58,Nature Photonics,39.728
59,Energy & Environmental Science,39.714
60,JOURNAL OF TRAVEL MEDICINE,39.194
61,Lancet Global Health,38.927
62,NATURE REVIEWS NEUROSCIENCE,38.755
63,JOURNAL OF INFECTION,38.637
64,CANCER CELL,38.585
65,Cancer Discovery,38.272
66,Signal Transduction and Targeted Therapy,38.104
67,Cell Discovery,38.079
68,Lancet Child & Adolescent Health,37.746
69,Journal of Public Transportation,37.667
70,Annual Review of Astronomy and Astrophysics,37.226
71,Nature Reviews Earth & Environment,37.214
72,Lancet Digital Health,36.615
73,MMWR Recommendations and Reports,36.286
74,Nature Reviews Physics,36.273
75,EUROPEAN HEART JOURNAL,35.855
76,ASTRONOMY AND ASTROPHYSICS REVIEW,35.786
77,Lancet Rheumatology,35.482
78,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,35.339
79,Military Medical Research,34.915
80,Nature Reviews Chemistry,34.571
81,GASTROENTEROLOGY,33.883
82,IEEE Communications Surveys and Tutorials,33.84
83,EUROPEAN RESPIRATORY JOURNAL,33.795
84,MATERIALS SCIENCE & ENGINEERING R-REPORTS,33.667
85,Nature Electronics,33.255
86,JAMA Oncology,33.006
87,Electrochemical Energy Reviews,32.804
88,Annual Review of Immunology,32.481
89,Annual Review of Pathology-Mechanisms of Disease,32.35
90,Nature Reviews Rheumatology,32.286
91,ADVANCED MATERIALS,32.086
92,GUT,31.793
93,Cell Metabolism,31.373
94,Cell Host & Microbe,31.316
95,PROGRESS IN POLYMER SCIENCE,31.281
96,NATURE IMMUNOLOGY,31.25
97,Nature Microbiology,30.964
98,Science Immunology,30.63
99,JAMA Cardiology,30.154
100,Lancet Haematology,30.153
101,JOURNAL OF HEPATOLOGY,30.083
102,JAMA Neurology,29.907
103,Advanced Energy Materials,29.698
104,Nature Biomedical Engineering,29.234
105,RADIOLOGY,29.146
106,MMWR Surveillance Summaries,29.095
107,NATURE NEUROSCIENCE,28.771
108,Lancet Planetary Health,28.75
109,Living Reviews in Solar Physics,28.7
110,Nature Climate Change,28.66
111,Annual Review of Plant Biology,28.31
112,NATURE CELL BIOLOGY,28.213
113,ANNALS OF THE RHEUMATIC DISEASES,27.973
114,Annual Review of Psychology,27.782
115,Science Robotics,27.541
116,Annual Review of Biochemistry,27.258
117,Nature Sustainability,27.157
118,Dialogues in Human Geography,27
119,Materials Today,26.943
120,JAMA Pediatrics,26.796
121,JAMA Psychiatry,25.911
122,Nature Machine Intelligence,25.898
123,Chem,25.832
124,STUDIES IN MYCOLOGY,25.731
125,PSYCHOTHERAPY AND PSYCHOSOMATICS,25.617
126,BLOOD,25.476
127,Annual Review of Fluid Mechanics,25.293
128,Cell Stem Cell,25.269
129,ENDOCRINE REVIEWS,25.261
130,REVIEWS OF GEOPHYSICS,24.946
131,FUNGAL DIVERSITY,24.902
132,International Journal of Oral Science,24.897
133,COORDINATION CHEMISTRY REVIEWS,24.833
134,InfoMat,24.798
135,Advances in Optics and Photonics,24.75
136,TRENDS IN COGNITIVE SCIENCES,24.482
137,ACCOUNTS OF CHEMICAL RESEARCH,24.466
138,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319
139,Nature Chemistry,24.274
140,EUROPEAN UROLOGY,24.267
141,Nature Human Behaviour,24.252
142,ACS Energy Letters,23.991
143,Annual Review of Condensed Matter Physics,23.978
144,ADVANCES IN PHYSICS,23.75
145,Nano-Micro Letters,23.655
146,CIRCULATION RESEARCH,23.213
147,National Science Review,23.178
148,Nature Cancer,23.177
149,Journal of Hematology & Oncology,23.168
150,PSYCHOLOGICAL BULLETIN,23.027
151,DRUG RESISTANCE UPDATES,22.841
152,Annual Review of Entomology,22.682
153,Trends in Chemistry,22.448
154,Annual Review of Physiology,22.163
155,Annual Review of Clinical Psychology,22.098
156,Cellular & Molecular Immunology,22.096
157,TRENDS IN PLANT SCIENCE,22.012
158,Molecular Plant,21.949
159,TRENDS IN BIOTECHNOLOGY,21.942
